"Year","Tm","FG","FGA","X3P","X3PA","X2P","X2PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PTS"
1954,"ROC",2010,5451,NA,NA,2010,5451,1722,2518,NA,NA,1454,NA,NA,NA,5742
1954,"SYR",2054,5579,NA,NA,2054,5579,1905,2650,NA,NA,1539,NA,NA,NA,6013
1954,"TOT",1670,4736,NA,NA,1670,4736,1273,1813,NA,NA,1160,NA,NA,NA,4613
1955,"BLB",86,271,NA,NA,86,271,88,128,NA,NA,78,NA,NA,NA,260
1955,"BOS",2604,6533,NA,NA,2604,6533,2096,2703,NA,NA,1903,NA,NA,NA,7304
1955,"FTW",2215,5677,NA,NA,2215,5677,1878,2556,NA,NA,1679,NA,NA,NA,6308
1955,"MLH",1674,4665,NA,NA,1674,4665,1456,2032,NA,NA,1208,NA,NA,NA,4804
1955,"MNL",2412,6224,NA,NA,2412,6224,1817,2433,NA,NA,1383,NA,NA,NA,6641
1955,"NYK",2371,6075,NA,NA,2371,6075,1869,2561,NA,NA,1718,NA,NA,NA,6611
1955,"PHW",2180,5713,NA,NA,2180,5713,1816,2464,NA,NA,1514,NA,NA,NA,6176
1955,"ROC",2399,6020,NA,NA,2399,6020,1737,2420,NA,NA,1695,NA,NA,NA,6535
1955,"SYR",2281,6117,NA,NA,2281,6117,1798,2382,NA,NA,1737,NA,NA,NA,6360
1955,"TOT",1534,4227,NA,NA,1534,4227,1186,1686,NA,NA,1153,NA,NA,NA,4254
1956,"BOS",2745,6913,NA,NA,2745,6913,2142,2785,NA,NA,1834,NA,NA,NA,7632
1956,"FTW",2372,6087,NA,NA,2372,6087,1978,2692,NA,NA,1714,NA,NA,NA,6722
1956,"MNL",2541,6543,NA,NA,2541,6543,2066,2627,NA,NA,1689,NA,NA,NA,7148
1956,"NYK",2508,6395,NA,NA,2508,6395,2196,2913,NA,NA,1610,NA,NA,NA,7212
1956,"PHW",2641,6437,NA,NA,2641,6437,2142,2829,NA,NA,1886,NA,NA,NA,7424
1956,"ROC",2593,7024,NA,NA,2593,7024,1811,2570,NA,NA,1835,NA,NA,NA,6997
1956,"STL",2459,6479,NA,NA,2459,6479,1927,2757,NA,NA,1658,NA,NA,NA,6845
1956,"SYR",2466,6661,NA,NA,2466,6661,2044,2703,NA,NA,1710,NA,NA,NA,6976
1956,"TOT",1082,3171,NA,NA,1082,3171,648,936,NA,NA,948,NA,NA,NA,2812
1957,"BOS",2808,7326,NA,NA,2808,7326,1983,2644,NA,NA,1464,NA,NA,NA,7599
1957,"FTW",2501,6529,NA,NA,2501,6529,1858,2486,NA,NA,1387,NA,NA,NA,6860
1957,"MNL",2584,6965,NA,NA,2584,6965,2195,2899,NA,NA,1193,NA,NA,NA,7363
1957,"NYK",2568,6649,NA,NA,2568,6649,2117,2844,NA,NA,1312,NA,NA,NA,7253
1957,"PHW",2582,6526,NA,NA,2582,6526,2062,2658,NA,NA,1464,NA,NA,NA,7226
1957,"ROC",2515,6807,NA,NA,2515,6807,1698,2402,NA,NA,1298,NA,NA,NA,6728
1957,"STL",2487,6453,NA,NA,2487,6453,1932,2646,NA,NA,1420,NA,NA,NA,6906
1957,"SYR",2321,6327,NA,NA,2321,6327,1987,2493,NA,NA,1134,NA,NA,NA,6629
1957,"TOT",1190,3313,NA,NA,1190,3313,710,957,NA,NA,638,NA,NA,NA,3090
1958,"BOS",3006,7759,NA,NA,3006,7759,1904,2585,NA,NA,1508,NA,NA,NA,7916
1958,"CIN",2817,7339,NA,NA,2817,7339,1688,2372,NA,NA,1578,NA,NA,NA,7322
1958,"DET",2746,7295,NA,NA,2746,7295,2093,2774,NA,NA,1264,NA,NA,NA,7585
1958,"MNL",2660,7192,NA,NA,2660,7192,2246,3007,NA,NA,1322,NA,NA,NA,7566
1958,"NYK",2884,7307,NA,NA,2884,7307,2300,3056,NA,NA,1359,NA,NA,NA,8068
