"Year","FGM_restricted_area","FGA_restricted_area","FGM_paint_nonra","FGA_paint_nonra","FGM_mid_range","FGA_mid_range","FGM_left_corner_3pt","FGA_left_corner_3pt","FGM_right_corner_3pt","FGA_right_corner_3pt","FGM_above_the_break_3pt","FGA_above_the_break_3pt","FGM_paint","FGA_paint","FGM_corner_3pt","FGA_corner_3pt","FGM_3pt","FGA_3pt"
1997,16.2448275862069,29.6862068965517,4.08620689655172,9.41034482758621,12.7413793103448,31.6620689655172,0.593103448275862,1.47241379310345,0.558620689655172,1.36896551724138,2.07586206896552,6.18965517241379,20.3310344827586,39.0965517241379,1.15172413793103,2.84137931034483,3.22758620689655,9.03103448275862
1998,15.9862068965517,26.5413793103448,4.1448275862069,11.2034482758621,11.4275862068966,29.3758620689655,0.503448275862069,1.37241379310345,0.5,1.31034482758621,3.47931034482759,10.1448275862069,20.1310344827586,37.7448275862069,1.00344827586207,2.68275862068965,4.48275862068965,12.8275862068966
1999,14.4034482758621,24.2137931034483,4.29655172413793,11.8724137931034,11.0310344827586,28.9862068965517,0.606896551724138,1.57931034482759,0.555172413793103,1.52413793103448,3.37241379310345,10.1896551724138,18.7,36.0862068965517,1.16206896551724,3.10344827586207,4.53448275862069,13.2931034482759
2000,14.9724137931034,24.5689655172414,4.65172413793103,12.4724137931034,12.3931034482759,31.3931034482759,0.672413793103448,1.74137931034483,0.672413793103448,1.74827586206897,3.5448275862069,10.2689655172414,19.6241379310345,37.0413793103448,1.3448275862069,3.48965517241379,4.88965517241379,13.7586206896552
2001,14.2172413793103,23.7068965517241,4.67931034482759,12.648275862069,11.9448275862069,30.5689655172414,0.675862068965517,1.77931034482759,0.689655172413793,1.81034482758621,3.53103448275862,10.1620689655172,18.8965517241379,36.3551724137931,1.36551724137931,3.58965517241379,4.89655172413793,13.751724137931
2002,14.5758620689655,24.5413793103448,4.57931034482759,11.8413793103448,11.8172413793103,30.1655172413793,0.717241379310345,1.88620689655172,0.727586206896552,1.87931034482759,3.82068965517241,10.9862068965517,19.1551724137931,36.3827586206897,1.4448275862069,3.76551724137931,5.26551724137931,14.751724137931
2003,14.4068965517241,24.3551724137931,4.64827586206897,11.9413793103448,11.548275862069,29.8310344827586,0.758620689655172,2.05172413793103,0.73448275862069,1.98620689655172,3.68620689655172,10.6103448275862,19.0551724137931,36.2965517241379,1.49310344827586,4.03793103448276,5.17931034482759,14.648275862069
2004,14.5310344827586,24.9586206896552,4.43448275862069,11.4862068965517,10.8793103448276,28.4448275862069,0.824137931034483,2.19310344827586,0.748275862068966,1.97586206896552,3.65172413793103,10.751724137931,18.9655172413793,36.4448275862069,1.57241379310345,4.16896551724138,5.22413793103448,14.9206896551724
2005,15.0266666666667,25.6833333333333,4.16333333333333,10.46,11.17,28.4633333333333,0.88,2.32666666666667,0.856666666666667,2.2,3.9,11.1566666666667,19.19,36.1433333333333,1.73666666666667,4.52666666666667,5.63666666666667,15.6833333333333
2006,15.16,25.6133333333333,4.13666666666667,10.2066666666667,10.8233333333333,27.19,0.9,2.36,0.883333333333333,2.25333333333333,3.96666666666667,11.3066666666667,19.2966666666667,35.82,1.78333333333333,4.61333333333333,5.75,15.92
2007,15.74,26.22,4.23333333333333,10.2466666666667,10.5066666666667,26.3233333333333,1.00666666666667,2.6,0.87,2.25333333333333,4.22333333333333,11.9966666666667,19.9733333333333,36.4666666666667,1.87666666666667,4.85333333333333,6.1,16.85
2008,15.6333333333333,26.0733333333333,4.30666666666667,10.5366666666667,10.7866666666667,26.83,1.01,2.60666666666667,0.953333333333333,2.4,4.58333333333333,12.9333333333333,19.94,36.61,1.96333333333333,5.00666666666667,6.54666666666667,17.94
2009,15.7766666666667,26.4866666666667,4.26,10.3366666666667,10.4433333333333,26.0133333333333,1.09,2.77333333333333,0.98,2.45666666666667,4.59666666666667,12.7366666666667,20.0366666666667,36.8233333333333,2.07,5.23,6.66666666666667,17.9666666666667
2010,16.4433333333333,27.1366666666667,4.55,10.7333333333333,10.27,25.6733333333333,1.00666666666667,2.58666666666667,0.92,2.32,4.53,13.11,20.9933333333333,37.87,1.92666666666667,4.90666666666667,6.45666666666667,18.0166666666667
2011,15.85,25.5766666666667,4.84666666666667,12.43,10.0866666666667,25.19,1.04333333333333,2.65666666666667,0.956666666666667,2.41,4.47,12.7966666666667,20.6966666666667,38.0066666666667,2,5.06666666666667,6.47,17.8633333333333
2012,15.9233333333333,26.31,4.59666666666667,12.0966666666667,9.53333333333333,24.6333333333333,0.963333333333333,2.54333333333333,0.923333333333333,2.46,4.54666666666667,13.2733333333333,20.52,38.4066666666667,1.88666666666667,5.00333333333333,6.43333333333333,18.2766666666667
2013,16.2766666666667,26.91,4.58666666666667,11.9233333333333,9.11333333333333,23.2266666666667,1.11333333333333,2.87666666666667,1.05333333333333,2.66666666666667,5.01333333333333,14.27,20.8633333333333,38.8333333333333,2.16666666666667,5.54333333333333,7.18,19.8133333333333
2014,16.3333333333333,26.84,4.87333333333333,12.3833333333333,8.78,22.2366666666667,1.14333333333333,2.91,1.01666666666667,2.60666666666667,5.6,15.8433333333333,21.2066666666667,39.2233333333333,2.16,5.51666666666667,7.76,21.36
2015,16.15,26.8866666666667,4.87,12.4,8.65,21.86,1.14,3.00333333333333,1.13,2.86666666666667,5.59,16.3966666666667,21.02,39.2866666666667,2.27,5.87,7.86,22.2666666666667
2016,16.5166666666667,27.4133333333333,4.9,12.2833333333333,8.28333333333333,20.79,1.19666666666667,3.19666666666667,1.14333333333333,3,6.16,17.6533333333333,21.4166666666667,39.6966666666667,2.34,6.19666666666667,8.5,23.85
2017,16.71,27.3533333333333,5.06,12.1133333333333,7.61666666666667,18.9333333333333,1.26333333333333,3.27,1.21333333333333,3.10333333333333,7.15,20.35,21.77,39.4666666666667,2.47666666666667,6.37333333333333,9.62666666666667,26.7233333333333
2018,17.1533333333333,27.18,5.36333333333333,13.52,6.62,16.4033333333333,1.28333333333333,3.33,1.22333333333333,3.04333333333333,7.97333333333333,22.3966666666667,22.5166666666667,40.7,2.50666666666667,6.37333333333333,10.48,28.77
2019,18.52,29.4166666666667,5.72,14.2333333333333,5.48333333333333,13.6466666666667,1.43,3.68666666666667,1.32333333333333,3.52333333333333,8.46666666666667,24.3066666666667,24.24,43.65,2.75333333333333,7.21,11.22,31.5166666666667
